valor,horario,localizacao,tipo_transacao,fraude
93.85,22,Rio de Janeiro,TED,não
602.02,3,Recife,TED,sim
263.35,17,São Paulo,Cartão Crédito,não
182.59,4,São Paulo,Pix,não
33.92,15,Salvador,Pix,não
33.92,13,Curitiba,Pix,não
11.97,18,Brasília,Pix,não
402.25,13,Recife,Cartão Crédito,não
183.82,8,Rio de Janeiro,Boleto,não
246.25,5,Salvador,Pix,sim
4.16,16,Porto Alegre,Pix,não
700.71,18,São Paulo,TED,não
357.29,11,São Paulo,Cartão Crédito,não
47.74,3,São Paulo,Cartão Crédito,não
40.14,15,Brasília,Pix,não
40.52,10,Brasília,Pix,não
72.55,21,Recife,TED,não
148.79,3,Porto Alegre,Cartão Débito,não
113.11,16,Rio de Janeiro,DOC,sim
68.84,7,Brasília,Pix,não
189.27,13,Curitiba,TED,não
30.05,1,Brasília,TED,não
69.1,10,São Paulo,Boleto,não
91.26,10,Rio de Janeiro,Pix,não
121.79,23,Recife,TED,não
307.59,21,Brasília,Boleto,não
44.55,23,São Paulo,Pix,não
144.41,5,Salvador,Boleto,não
179.5,20,Curitiba,TED,não
9.51,20,Curitiba,Cartão Crédito,não
187.07,13,Salvador,Pix,não
37.39,9,Recife,Cartão Débito,não
13.45,7,Recife,Pix,sim
594.74,6,Brasília,Pix,não
674.13,7,Recife,Cartão Crédito,não
330.47,7,Porto Alegre,Cartão Crédito,sim
72.66,22,Porto Alegre,Pix,não
20.56,1,São Paulo,Cartão Débito,não
230.55,15,São Paulo,Pix,não
116.02,8,São Paulo,Boleto,sim
26.03,12,Porto Alegre,Pix,não
136.71,22,Brasília,TED,não
7.0,11,Brasília,TED,não
480.08,21,Recife,Boleto,não
59.89,16,Brasília,DOC,não
217.25,1,São Paulo,TED,não
74.71,12,Rio de Janeiro,Cartão Débito,não
146.82,0,São Paulo,Pix,não
158.24,18,Porto Alegre,Pix,não
40.88,10,Salvador,Cartão Crédito,não
698.56,4,Rio de Janeiro,Pix,sim
298.45,0,Recife,TED,não
561.02,19,Curitiba,TED,não
450.43,12,Salvador,Pix,não
182.21,7,Brasília,Cartão Débito,não
509.89,5,Brasília,Pix,sim
18.53,16,Porto Alegre,Pix,não
43.63,11,São Paulo,Pix,não
9.26,0,São Paulo,Pix,não
78.71,2,Rio de Janeiro,TED,não
98.43,13,Brasília,Boleto,não
63.31,7,Salvador,Cartão Crédito,não
352.91,10,Porto Alegre,Cartão Crédito,não
88.25,13,Salvador,Pix,não
65.96,7,Recife,Pix,não
156.48,2,São Paulo,Cartão Débito,não
30.38,6,Salvador,Pix,não
324.1,18,Brasília,Cartão Débito,sim
15.5,3,Curitiba,Cartão Crédito,não
866.83,15,Porto Alegre,Cartão Débito,não
295.9,12,Rio de Janeiro,TED,não
44.31,19,São Paulo,Pix,não
1.11,18,São Paulo,Boleto,não
337.98,4,Recife,Cartão Crédito,não
245.42,22,São Paulo,Pix,sim
261.13,4,Porto Alegre,Cartão Crédito,não
295.04,19,Brasília,Pix,sim
15.39,23,Brasília,TED,não
88.78,3,Brasília,Cartão Crédito,não
24.63,1,Curitiba,Pix,não
397.71,12,Curitiba,Pix,não
195.26,15,São Paulo,Pix,não
80.36,21,Salvador,Pix,não
13.13,1,Curitiba,Pix,não
74.5,18,Salvador,Pix,não
78.66,16,Salvador,Pix,não
261.58,4,Curitiba,Cartão Crédito,não
202.98,17,Recife,Cartão Débito,não
436.45,22,Curitiba,TED,não
127.81,20,Rio de Janeiro,Pix,não
25.47,17,Rio de Janeiro,Pix,não
249.83,7,Salvador,Cartão Crédito,não
286.08,14,Rio de Janeiro,Boleto,não
164.78,12,São Paulo,Cartão Débito,não
294.78,12,Brasília,Pix,não
136.16,15,Recife,Cartão Crédito,não
147.94,21,São Paulo,DOC,sim
111.56,19,Brasília,Cartão Débito,não
5.15,12,Recife,Boleto,sim
22.83,19,Salvador,TED,não
6.39,1,Recife,Boleto,não
202.35,2,Recife,Cartão Crédito,não
75.48,14,Rio de Janeiro,Pix,não
142.09,22,Rio de Janeiro,Pix,não
