idade,sexo,frequencia_semanal_treino,tipo_atividade,tempo_medio_exercicio,minutos_totais_semana,preco_plano,possui_nutricionista,primeiro_PGC,ultimo_PGC,data_matricula,estado,estado_nome,estado_num,dias_desde_matricula,imc_estimado,evolucao_pgc
48,O,7.0,natação,45.3,317.1,188.47,Não,39.5,24.9,2021-07-28,Ativa,Ativa,1,1508,18.93,14.600000000000001
30,O,7.0,yoga,98.1,686.7,198.07,Não,25.2,23.5,2020-12-28,Ativa,Ativa,1,1720,18.810000000000002,1.6999999999999993
35,M,5.0,cardio,33.9,169.5,154.9,Não,27.2,11.4,2022-02-27,Ativa,Ativa,1,1294,13.89,15.799999999999999
43,O,3.0,yoga,75.6,226.8,250.79,Sim,14.4,19.2,2022-12-01,Ativa,Ativa,1,1017,20.46,-4.799999999999999
37,M,0.0,crossfit,114.0,0.0,168.02,Sim,21.5,18.1,2024-01-20,Sedentária,Sedentária,0,602,22.5,3.3999999999999986
57,M,2.0,yoga,95.5,191.0,74.06,Não,35.8,14.4,2020-04-26,Ativa,Ativa,1,1966,26.65,21.4
55,M,7.0,crossfit,95.7,669.9,289.13,Sim,16.1,14.9,2022-06-12,Ativa,Ativa,1,1189,26.07,1.200000000000001
21,F,5.0,yoga,117.5,587.5,259.55,Não,13.2,13.5,2021-09-07,Ativa,Ativa,1,1467,18.05,-0.3000000000000007
37,M,7.0,yoga,70.55,203.5,194.34,Sim,18.4,21.8,2025-09-02,Ativa,Ativa,1,11,11.1,-3.400000000000002
50,M,1.0,musculação,105.0,105.0,290.91,Sim,37.3,31.0,2020-05-06,Ativa,Ativa,1,1956,25.5,6.299999999999997
21,F,0.0,futebol,94.8,0.0,176.86,Sim,25.5,21.2,2025-03-10,Sedentária,Sedentária,0,187,15.780000000000001,4.300000000000001
30,O,0.0,crossfit,67.7,0.0,147.73,Sim,28.6,25.4,2023-11-12,Sedentária,Sedentária,0,671,15.77,3.200000000000003
42,O,1.0,yoga,56.6,56.6,170.38,Não,15.7,29.6,2021-12-31,Ativa,Ativa,1,1352,18.259999999999998,-13.900000000000002
20,M,6.0,cardio,47.8,286.8,206.8,Sim,10.4,22.7,2022-12-25,Ativa,Ativa,1,993,10.780000000000001,-12.299999999999999
47,F,2.0,musculação,112.5,225.0,117.85,Não,29.0,13.4,2020-05-01,Ativa,Ativa,1,1961,25.35,15.6
24,O,4.0,crossfit,80.4,321.6,63.51,Não,13.5,34.1,2020-10-29,Ativa,Ativa,1,1780,15.24,-20.6
62,O,4.0,futebol,69.1,276.4,143.89,Sim,29.8,16.0,2024-01-19,Ativa,Ativa,1,603,25.509999999999998,13.8
35,F,0.0,natação,48.9,0.0,53.65,Não,12.3,20.9,2025-04-23,Sedentária,Sedentária,0,143,15.39,-8.599999999999998
22,O,4.0,musculação,94.3,377.2,131.0,Não,36.7,10.8,2022-06-13,Ativa,Ativa,1,1188,16.03,25.900000000000002
36,F,4.0,crossfit,101.7,406.8,174.82,Não,31.2,36.4,2021-06-11,Ativa,Ativa,1,1555,20.97,-5.199999999999999
36,F,3.0,crossfit,99.6,298.8,298.37,Sim,22.7,30.3,2022-07-02,Ativa,Ativa,1,1169,20.759999999999998,-7.600000000000001
57,O,5.0,natação,94.7,473.5,225.36,Não,28.1,11.4,2024-10-13,Ativa,Ativa,1,335,26.57,16.700000000000003
57,O,5.0,crossfit,42.2,211.0,251.88,Não,22.7,27.2,2022-05-26,Ativa,Ativa,1,1206,21.32,-4.5
52,F,6.0,yoga,89.6,537.6,181.9,Sim,11.3,16.8,2022-04-10,Ativa,Ativa,1,1252,24.56,-5.5
31,O,2.0,futebol,52.3,104.6,81.08,Sim,13.3,35.5,2023-05-20,Ativa,Ativa,1,847,14.53,-22.2
64,M,1.0,yoga,105.6,105.6,256.94,Sim,14.3,34.1,2024-10-04,Ativa,Ativa,1,344,29.759999999999998,-19.8
64,O,0.0,musculação,70.55,203.5,148.59,Sim,19.3,19.1,2024-10-13,Sedentária,Sedentária,0,335,19.2,0.1999999999999993
41,M,2.0,futebol,81.6,163.2,56.38,Sim,12.9,30.1,2024-09-09,Ativa,Ativa,1,369,20.46,-17.200000000000003
40,F,4.0,natação,82.1,328.4,114.78,Não,33.6,27.6,2021-05-09,Ativa,Ativa,1,1588,20.21,6.0
37,O,4.0,yoga,45.1,180.4,78.51,Sim,17.3,32.4,2023-05-08,Ativa,Ativa,1,859,15.61,-15.099999999999998
51,M,7.0,cardio,74.5,521.5,223.85,Sim,10.2,29.5,2020-05-23,Ativa,Ativa,1,1939,22.75,-19.3
42,F,5.0,cardio,109.8,549.0,136.8,Não,30.7,13.9,2022-02-04,Ativa,Ativa,1,1317,23.58,16.799999999999997
33,M,2.0,musculação,93.8,187.6,113.1,Sim,35.8,12.5,2023-03-11,Ativa,Ativa,1,917,19.28,23.299999999999997
48,F,0.0,natação,75.4,0.0,74.83,Não,23.6,24.5,2020-09-05,Sedentária,Sedentária,0,1834,21.939999999999998,-0.8999999999999986
20,O,4.0,yoga,29.6,118.4,263.94,Sim,38.7,20.1,2024-02-04,Ativa,Ativa,1,587,8.96,18.6
35,O,3.0,natação,94.5,283.5,94.64,Sim,15.0,23.5,2024-08-24,Ativa,Ativa,1,385,19.950000000000003,-8.5
56,F,0.0,musculação,25.8,0.0,233.58,Sim,18.6,12.6,2020-03-26,Sedentária,Sedentária,0,1997,19.380000000000003,6.000000000000002
21,O,6.0,cardio,33.9,203.4,151.75,Não,39.2,15.9,2023-06-16,Ativa,Ativa,1,820,9.69,23.300000000000004
53,M,2.0,yoga,98.3,196.6,176.74,Sim,37.4,29.5,2025-02-04,Ativa,Ativa,1,221,25.729999999999997,7.899999999999999
34,O,4.0,yoga,21.9,87.6,171.13,Não,30.7,23.0,2024-02-18,Ativa,Ativa,1,573,12.389999999999999,7.699999999999999
40,O,4.0,natação,36.9,147.6,261.56,Não,20.8,17.4,2020-01-29,Ativa,Ativa,1,2054,15.69,3.400000000000002
45,O,5.0,futebol,104.3,521.5,138.88,Sim,36.0,36.0,2020-02-07,Ativa,Ativa,1,2045,23.93,0.0
49,O,5.0,futebol,70.55,203.5,235.3,Não,30.4,13.2,2024-03-25,Ativa,Ativa,1,537,14.7,17.2
54,F,4.0,cardio,113.2,203.5,65.29,Sim,16.6,35.0,2021-10-05,Sedentária,Sedentária,0,1439,27.52,-18.4
32,F,0.0,crossfit,46.9,0.0,273.31,Não,30.9,10.6,2020-12-16,Sedentária,Sedentária,0,1732,14.29,20.299999999999997
35,O,4.0,yoga,46.8,187.2,61.92,Sim,21.3,17.5,2022-03-08,Ativa,Ativa,1,1285,15.18,3.8000000000000007
20,M,7.0,natação,58.1,406.7,195.57,Sim,10.7,28.0,2024-02-26,Ativa,Ativa,1,565,11.81,-17.3
35,O,5.0,yoga,57.3,286.5,97.55,Não,17.2,12.1,2025-02-23,Ativa,Ativa,1,202,16.23,5.1
20,O,1.0,cardio,71.0,71.0,163.27,Não,27.3,20.6,2023-06-19,Ativa,Ativa,1,817,13.100000000000001,6.699999999999999
33,M,7.0,musculação,118.3,828.1,184.03,Não,12.7,25.9,2021-11-28,Ativa,Ativa,1,1385,21.73,-13.2
22,M,5.0,natação,119.6,598.0,243.95,Não,36.9,27.3,2020-03-14,Ativa,Ativa,1,2009,18.560000000000002,9.599999999999998
44,F,3.0,yoga,88.3,264.9,176.71,Sim,33.0,20.8,2024-09-04,Ativa,Ativa,1,374,22.03,12.2
24,M,5.0,crossfit,72.3,361.5,234.14,Sim,27.4,18.4,2021-09-08,Ativa,Ativa,1,1466,14.43,9.0
28,F,3.0,cardio,115.2,345.6,82.98,Sim,29.8,36.2,2025-04-01,Ativa,Ativa,1,165,19.92,-6.400000000000002
52,F,6.0,natacao,114.2,685.2,186.69,Não,36.9,28.1,2020-11-24,Ativa,Ativa,1,1754,27.020000000000003,8.799999999999997
33,F,4.0,natação,114.8,459.2,58.5,Não,28.2,39.6,2023-05-19,Ativa,Ativa,1,848,21.380000000000003,-11.400000000000002
38,M,4.0,cardio,26.9,107.6,67.17,Não,34.7,34.1,2021-04-02,Ativa,Ativa,1,1625,14.09,0.6000000000000014
28,F,6.0,futebol,116.1,696.6,175.74,Sim,19.6,27.9,2023-09-20,Ativa,Ativa,1,724,20.009999999999998,-8.299999999999997
27,M,7.0,musculação,47.3,331.1,133.74,Não,14.6,10.5,2024-11-06,Ativa,Ativa,1,311,12.829999999999998,4.1
62,O,3.0,natação,35.6,106.8,178.59,Não,21.2,31.0,2022-07-21,Ativa,Ativa,1,1150,22.159999999999997,-9.8
